Flavour,Kilojules,Hot drinks,Limited edition
Aloe Vera Mix-in,155,0,0
Coconut Jelly Mix-in,256,0,0
Custard Mix-in,253,0,0
Grape Jelly Mix-in,262,0,0
Herbal Jelly Mix-in,155,1,0
Lychee Jelly Mix-in,243,0,0
Pearls Mix-in,584,1,0
Popping Pearls Mix-in,761,0,0
Rainbow Jelly Mix-in,394,0,0
Red Bean Mix-in,429,1,0
