Category,Can change tea type,Can change size,Can add mix-ins,Can change ice,Can change sugar
Milky,0,1,1,1,1
Hot Milky,0,0,1,0,1
Fresh,0,1,1,1,1
Hot Fresh,0,0,1,0,1
Fruity,1,1,1,1,1
Frozen,0,1,1,0,1
Sparkling,0,1,1,1,1
