Category,Tea type,Flavour,Size,Kilojules,Contains sugar,Limited edition
Fruity,Black,Passionfruit (no sugar),R,408,0,0
Fruity,Black,Passionfruit (no sugar),L,541,0,0
Fruity,Green,Passionfruit,R,837,1,0
Fruity,Green,Passionfruit,L,1100,1,0
Fruity,Green,Passionfruit (no sugar),R,408,0,0
Fruity,Green,Passionfruit (no sugar),L,541,0,0
Fruity,Black,Peach,R,641,1,0
Fruity,Black,Peach,L,740,1,0
Fruity,Black,Peach (no sugar),R,417,0,0
Fruity,Black,Peach (no sugar),L,578,0,0
Fruity,Green,Peach,R,641,1,0
Fruity,Green,Peach,L,740,1,0
Fruity,Green,Peach (no sugar),R,417,0,0
Fruity,Green,Peach (no sugar),L,548,0,0
Fruity,Black,Pomegranate,R,805,1,0
Fruity,Black,Pomegranate,L,1190,1,0
Fruity,Black,Pomegranate (no sugar),R,629,0,0
Fruity,Black,Pomegranate (no sugar),L,832,0,0
Fruity,Green,Pomegranate,R,805,1,0
Fruity,Green,Pomegranate,L,1190,1,0
Fruity,Green,Pomegranate (no sugar),R,629,0,0
Fruity,Green,Pomegranate (no sugar),L,832,0,0
Fruity,Black,Strawberry,R,672,1,0
Fruity,Black,Strawberry,L,1055,1,0
Fruity,Black,Strawberry (no sugar),R,629,0,0
Fruity,Black,Strawberry (no sugar),L,832,0,0
Fruity,Green,Strawberry,R,672,1,0
Fruity,Green,Strawberry,L,1055,1,0
Fruity,Green,Strawberry (no sugar),R,629,0,0
Fruity,Green,Strawberry (no sugar),L,832,0,0
Fruity,Black,Tropical,R,791,1,0
Fruity,Black,Tropical,L,1040,1,0
Fruity,Black,Tropical (no sugar),R,578,0,0
Fruity,Black,Tropical (no sugar),L,766,0,0
Fruity,Green,Tropical,R,791,1,0
Fruity,Green,Tropical,L,1040,1,0
Fruity,Green,Tropical (no sugar),R,578,0,0
Fruity,Green,Tropical (no sugar),L,766,0,0
Frozen,,Kiwi Kooler,R,969,1,1
Frozen,,Kiwi Kooler,L,1346,1,1
Frozen,,Polar Pineapple,R,1224,1,1
Frozen,,Polar Pineapple,L,1324,1,1
Frozen,,Chocolate,R,1440,1,0
Frozen,,Chocolate,L,1828,1,0
Frozen,,Coffee,R,1110,1,0
Frozen,,Coffee,L,1505,1,0
Frozen,,Guava Grapefruit,R,494,1,0
Frozen,,Guava Grapefruit,L,1155,1,0
Frozen,,Mango,R,1105,1,0
